Unnamed: 0,PB- Secretaría Administrativa,PB- Oficina Director,PB- Boletería y Seguridad,Unnamed: 4,PB- Período Pre Hispánico I,Unnamed: 6,PB- Escribanía de Güemes,Unnamed: 8,PB- Período Pre Hispánico II,Unnamed: 10,PB- Habitación textiles,Unnamed: 12,PB- Sala Revolución de Mayo,Unnamed: 14,PB- Galería,Unnamed: 16,PB- Sala arquitectura,Unnamed: 18,PB- Período Pre Hispánico III,Unnamed: 20,PB- Oficina Administrativa,Unnamed: 22,PA- Sala Arte Sacro Chica,Unnamed: 24,PA- Reserva técnica,Unnamed: 26,PA- Taller de Conservación,PA- Arte Sacro Grande,ESTACIÓN METEOROLÓGICA,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
2024-11-27 13:00:00,28.17,28.1,27.88,48.89,27.51,52.87,27.95,52.07,27.55,51.57,28.07,50.36,28.07,47.78,27.9,50.95,28.05,49.65,27.88,50.69,28.3,49.97,28.75,43.21,27.83,49.78,27.7,28.36,27.1,39,993.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 13:15:00,28.94,29.72,28.49,48.84,28.89,52.23,30.14,50.15,30.34,50.46,30.02,50.39,30.27,48.58,30.55,50.36,29.29,49.62,29.59,50.53,30.17,51.63,29.65,40.87,28.64,48.73,29.59,29.65,27.2,38,1064.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 13:30:00,29.37,30.8,28.2,50.41,29.32,51.42,31.0,49.29,30.87,49.27,30.72, ,30.65,47.78,31.28,49.48,30.17,48.3,30.12,49.63,30.9,50.57,29.65,42.09,28.35,50.3,30.42,30.36,27.4,35,1063.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 13:45:00,29.67,31.08,29.54,49.87,29.99,51.38,31.36,49.36,31.26,48.99,31.08,49.62,31.13,48.23,31.31,49.26,30.52,48.31,30.75,49.42,31.08,50.92,29.95,43.15,29.29,50.29,30.85,30.66,27.9,34,1079.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 14:00:00,30.29,31.36,30.98,48.96,30.75,51.61,31.74,50.29,31.64,49.33,31.89,49.4,32.25,47.81,31.31,50.43,30.67,49.18,31.31,49.68,31.56,51.11,30.76,44.37,30.52,49.97,31.79,30.86,27.5,39,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 14:15:00,31.1,31.84,32.3,48.38,31.66,51.77,32.51,50.65,32.33,49.52,33.03,48.99,33.57,47.05,31.82,51.73,31.1,50.21,32.1,49.88,32.38,51.54,31.78,45.09,31.71,49.73,33.03,31.47,27.7,40,748.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 14:30:00,32.0,32.54,33.31,48.11,32.56,51.89,33.39,50.63,33.11,49.62,34.07,48.56,34.68,46.33,32.56,52.31,31.77,51.01,32.9,49.98,33.31,51.54,32.7,45.35,32.67,49.63,34.15,32.19,27.3,39,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 14:45:00,32.77,33.21,33.94,48.09,33.29,51.82,34.12,50.47,33.76,49.64,34.81,48.19,35.37,45.95,33.31,52.28,32.43,51.26,33.57,50.01,34.1,51.25,33.43,45.26,33.34,49.65,34.92,32.91,26.8,41,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 15:00:00,33.47,33.89,34.57,47.97,33.94,51.75,34.81,50.36,34.39,49.55,35.5,47.88,36.07,45.7,33.97,52.17,33.08,51.31,34.2,49.99,34.81,50.98,34.16,45.1,33.97,49.6,35.66,33.54,27.1,40,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 15:15:00,34.12,34.57,35.18,47.91,34.57,51.73,35.45,50.25,35.02,49.47,36.23,47.54,36.77,45.41,34.65,52.04,33.73,51.3,34.84,49.91,35.53,50.68,34.8,45.01,34.57,49.61,36.39,34.16,27.4,38,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 15:30:00,34.84,35.26,35.85,47.83,35.21,51.66,36.15,50.11,35.69,49.33,36.99,47.2,37.54,45.13,35.32,51.9,34.36,51.22,35.5,49.83,36.28,50.42,35.44,44.87,35.24,49.53,37.15,34.8,26.9,38,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 15:45:00,35.45,35.9,36.25,47.65,35.74,51.47,36.74,49.76,36.23,49.06,37.54,46.8,38.0,44.72,35.96,51.43,35.02,50.88,36.04,49.6,36.91,49.84,36.08,44.39,35.69,49.29,37.7,35.44,26.2,40,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 16:00:00,35.77,36.34,36.01,47.35,35.9,50.9,36.96,49.12,36.39,48.66,37.56,46.47,37.84,44.36,36.36,50.56,35.48,50.05,36.2,49.09,37.15,49.11,36.19,43.41,35.58,48.95,37.67,35.86,25.9,41,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 16:15:00,35.77,36.5,35.45,47.12,35.69,50.25,36.77,48.5,36.23,48.14,37.21,46.23,37.26,44.3,36.42,49.78,35.69,48.96,36.04,48.55,37.07,48.51,36.08,42.39,35.16,48.63,37.26,35.97,26.0,42,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 16:30:00,35.64,36.44,35.08,47.11,35.37,49.81,36.47,48.14,36.01,47.78,36.85,46.09,36.77,44.31,36.25,49.23,35.69,48.11,35.8,48.12,36.85,48.05,35.86,42.0,34.86,48.5,36.82,35.86,27.3,39,853.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 16:45:00,35.56,36.39,35.08,46.74,35.26,49.57,36.31,47.88,35.9,47.47,36.69,45.9,36.66,44.13,36.09,49.01,35.61,47.6,35.72,47.78,36.72,47.74,35.76,41.71,34.89,48.01,36.66,35.76,26.3,41,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 17:00:00,35.45,36.25,34.76,46.31,35.02,49.08,36.04,47.49,35.64,47.04,36.34,45.66,36.25,43.98,35.9,48.53,35.5,46.89,35.45,47.32,36.47,47.34,35.44,40.98,34.6,47.25,36.31,35.54,27.2,41,675.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 17:15:00,35.18,36.01,34.07,46.59,34.62,48.86,35.58,47.37,35.21,46.92,35.8,45.8,35.58,44.51,35.61,48.06,35.29,46.24,35.05,47.1,36.07,47.29,35.12,40.26,34.07,47.05,35.8,35.33,26.1,45,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 17:30:00,34.7,35.61,33.13,46.8,33.99,48.49,34.94,47.16,34.57,46.71,35.08,45.81,34.73,44.74,35.16,47.18,34.97,45.5,34.44,46.8,35.5,47.06,34.48,39.64,33.24,46.92,35.05,34.9,25.3,48,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 17:45:00,34.07,35.05,32.15,46.91,33.18,48.06,34.18,46.9,33.86,46.43,34.18,45.74,33.73,44.89,34.52,46.24,34.44,44.64,33.73,46.45,34.78,46.64,33.74,39.14,32.33,46.84,34.15,34.27,25.6,47,347.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 18:00:00,33.37,34.41,31.31,46.88,32.41,47.8,33.37,46.7,33.11,46.17,33.31,45.64,32.82,44.92,33.81,45.5,33.81,44.0,32.98,46.13,33.99,46.28,32.91,38.91,31.54,46.71,33.26,33.54,25.7,46,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 18:15:00,32.64,33.73,30.6,46.76,31.64,47.57,32.59,46.47,32.36,45.92,32.51,45.54,32.02,44.96,33.05,45.08,33.16,43.6,32.25,45.91,33.21,46.02,32.19,38.8,30.85,46.53,32.43,32.81,25.2,48,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 18:30:00,31.97,33.0,29.94,46.61,30.93,47.39,31.87,46.39,31.64,45.77,31.77,45.42,31.26,44.93,32.33,44.73,32.48,43.29,31.54,45.69,32.46,45.83,31.47,38.72,30.19,46.32,31.69,32.19,24.5,50,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 18:45:00,31.28,32.3,29.27,46.5,30.27,47.24,31.13,46.27,30.95,45.62,31.03,45.37,30.52,44.91,31.64,44.48,31.79,43.08,30.85,45.51,31.71,45.68,30.76,38.64,29.54,46.17,30.93,31.47,24.0,50,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27 19:00:00,30.6,31.61,28.64,46.39,29.62,47.1,30.44,46.18,30.27,45.47,30.32,45.25,29.84,44.9,30.93,44.27,31.13,42.94,30.19,45.4,31.0,45.53,30.05,38.59,28.94,46.04,30.24,30.76,23.9,51,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,
